customer_id,signup_date,customer_segment,subscription_plan,monthly_value,contract_type,onboarding_completed,days_to_first_value,features_adopted,feature_adoption_rate,activation_trifecta,cs_touchpoints,days_since_login,support_tickets,months_as_customer,nps_score,payment_failures,referred_by_partner,churn_risk_score,churned
NC-00055,2024-07-19,Mid-Market,Growth,80.27,Monthly,0,20,3,0.25,0,0,51,1,14,5,0,0,79.2,1
NC-00056,2023-10-28,Enterprise,Enterprise,342.27,Annual,0,15,3,0.25,0,5,32,1,7,7,2,0,73.4,1
NC-00057,2024-10-05,Small Business,Starter,29.69,Monthly,1,5,7,0.58,0,0,6,4,3,6,0,0,37.6,0
NC-00058,2024-09-25,Small Business,Starter,34.33,Monthly,1,6,5,0.42,1,1,8,0,12,9,0,0,26.2,0
NC-00059,2024-01-06,Small Business,Growth,84.4,Annual,0,18,2,0.17,0,0,57,3,19,0,0,1,85.5,1
NC-00060,2024-08-14,Small Business,Growth,71.55,Monthly,0,18,2,0.17,0,1,38,0,13,2,1,0,80.4,1
NC-00061,2023-07-16,Mid-Market,Growth,74.48,Annual,1,4,6,0.5,0,2,0,0,21,8,0,0,37.7,0
NC-00062,2024-12-22,Small Business,Growth,83.47,Monthly,0,19,1,0.08,1,0,22,4,1,1,0,0,63.8,1
NC-00063,2023-03-13,Mid-Market,Business,165.79,Monthly,0,15,1,0.08,0,1,30,2,7,6,0,0,77.0,1
NC-00064,2023-02-16,Small Business,Growth,70.66,Monthly,1,6,7,0.58,1,1,12,1,6,8,1,0,22.7,0
NC-00065,2024-11-08,Small Business,Starter,33.12,Monthly,0,9,1,0.08,1,0,16,1,9,6,1,0,65.6,0
NC-00066,2023-08-22,Mid-Market,Growth,81.24,Annual,0,23,2,0.17,0,1,37,0,21,1,0,0,84.3,1
NC-00067,2023-10-24,Small Business,Growth,80.92,Monthly,0,12,1,0.08,0,0,33,0,1,5,0,0,81.9,1
NC-00068,2023-03-23,Mid-Market,Business,168.31,Monthly,0,13,1,0.08,0,0,50,0,8,3,0,1,89.0,1
NC-00069,2023-08-27,Small Business,Starter,32.48,Monthly,1,5,5,0.42,0,0,3,0,22,9,3,0,41.1,0
NC-00070,2023-04-14,Enterprise,Business,164.0,Annual,0,20,1,0.08,0,4,37,1,17,3,0,0,72.6,1
NC-00071,2024-01-25,Mid-Market,Growth,77.08,Annual,0,26,1,0.08,0,1,57,1,21,3,0,0,88.2,1
NC-00072,2023-10-12,Small Business,Starter,30.54,Monthly,0,19,1,0.08,0,0,48,2,18,6,0,0,90.1,1
NC-00073,2024-04-09,Small Business,Starter,31.15,Monthly,1,4,5,0.42,0,1,10,0,1,7,0,0,38.1,1
NC-00074,2024-10-12,Mid-Market,Growth,76.43,Monthly,0,18,2,0.17,0,0,30,1,12,5,0,0,84.5,1
NC-00075,2024-01-09,Mid-Market,Business,152.81,Monthly,0,24,3,0.25,0,2,37,3,22,5,0,1,71.1,1
NC-00076,2023-06-16,Mid-Market,Growth,74.73,Monthly,1,9,3,0.25,1,2,7,3,14,9,0,0,31.2,0
NC-00077,2024-01-15,Mid-Market,Business,135.74,Monthly,1,4,9,0.75,1,1,12,1,19,6,0,1,11.5,0
NC-00078,2023-12-30,Small Business,Starter,28.74,Monthly,1,6,6,0.5,0,0,10,0,1,6,1,1,40.9,1
NC-00079,2023-08-03,Small Business,Starter,32.39,Monthly,0,17,1,0.08,0,0,25,0,22,2,0,0,86.9,1
NC-00080,2024-11-17,Small Business,Starter,34.16,Annual,0,17,1,0.08,0,1,61,1,6,0,0,0,86.2,1
NC-00081,2023-10-01,Enterprise,Business,148.31,Monthly,0,25,1,0.08,0,6,53,1,20,4,0,1,78.8,1
NC-00082,2024-12-19,Mid-Market,Business,155.71,Annual,0,14,1,0.08,0,2,22,4,22,3,2,0,80.5,1
NC-00083,2024-11-30,Small Business,Growth,72.06,Monthly,0,8,3,0.25,0,0,29,3,1,4,1,0,77.0,1
NC-00084,2024-10-25,Small Business,Starter,34.04,Monthly,0,19,1,0.08,0,0,32,1,21,0,0,0,83.8,1
NC-00085,2023-03-15,Small Business,Starter,30.69,Monthly,1,7,7,0.58,1,0,12,1,21,7,0,0,24.7,0
NC-00086,2024-09-15,Small Business,Starter,32.8,Annual,0,18,1,0.08,0,0,22,0,22,3,0,0,78.3,1
NC-00087,2024-10-12,Mid-Market,Business,161.78,Monthly,0,20,2,0.17,1,0,24,0,21,6,0,0,57.7,1
NC-00088,2023-06-25,Mid-Market,Business,140.26,Monthly,1,6,6,0.5,1,2,12,1,17,7,2,0,25.2,0
NC-00089,2024-06-30,Enterprise,Enterprise,564.59,Monthly,1,5,1,0.08,1,4,10,0,3,7,0,0,34.1,0
NC-00090,2023-09-08,Mid-Market,Business,168.42,Monthly,0,20,3,0.25,0,3,5,0,23,5,0,0,61.3,1
NC-00091,2023-06-17,Small Business,Growth,71.79,Annual,1,6,5,0.42,1,0,11,5,5,7,0,0,33.9,0
NC-00092,2024-04-18,Mid-Market,Growth,83.66,Annual,1,1,4,0.33,1,3,0,2,16,8,0,0,19.4,0
NC-00093,2024-01-24,Mid-Market,Growth,89.25,Annual,0,18,2,0.17,0,2,25,1,16,5,0,0,74.5,1
NC-00094,2023-10-04,Mid-Market,Business,142.02,Annual,0,11,1,0.08,0,1,29,3,23,3,0,0,79.6,0
NC-00095,2024-10-17,Mid-Market,Business,164.46,Annual,0,17,2,0.17,0,2,27,0,6,3,0,0,66.0,0
NC-00096,2024-12-05,Mid-Market,Growth,88.67,Monthly,1,4,5,0.42,1,0,4,1,18,9,0,0,27.4,0
NC-00097,2024-07-24,Mid-Market,Growth,84.94,Monthly,0,22,2,0.17,0,1,19,0,18,4,1,0,67.7,1
NC-00098,2023-08-13,Mid-Market,Growth,74.63,Annual,0,18,1,0.08,1,0,42,5,19,2,0,0,73.7,1
NC-00099,2024-12-02,Small Business,Starter,28.34,Monthly,0,19,1,0.08,0,0,10,3,17,5,0,0,73.9,1
NC-00100,2023-11-29,Small Business,Starter,25.36,Monthly,1,4,6,0.5,1,0,5,1,11,9,0,0,25.7,0
NC-00101,2023-02-27,Small Business,Starter,33.31,Monthly,0,22,1,0.08,0,1,46,1,10,4,2,1,94.5,1
NC-00102,2023-08-23,Mid-Market,Business,163.98,Annual,0,11,1,0.08,0,1,40,5,18,3,0,0,81.3,1
NC-00103,2023-02-02,Small Business,Growth,82.65,Monthly,0,14,2,0.17,0,0,14,0,18,5,2,0,79.0,1
NC-00104,2023-11-20,Mid-Market,Growth,77.05,Monthly,0,23,1,0.08,0,1,6,1,19,5,3,0,77.2,1
NC-00105,2024-02-15,Enterprise,Enterprise,338.41,Annual,1,4,6,0.5,1,3,2,2,23,7,0,0,14.5,0
NC-00106,2023-10-02,Small Business,Starter,32.53,Annual,0,9,1,0.08,0,0,2,2,13,5,0,0,69.9,1
NC-00107,2023-03-09,Mid-Market,Business,159.06,Annual,0,23,1,0.08,0,0,36,1,10,4,0,1,89.3,1
NC-00108,2023-08-05,Mid-Market,Growth,88.25,Annual,0,22,3,0.25,0,1,28,4,11,9,0,0,77.4,1
NC-00109,2024-08-03,Small Business,Starter,32.31,Annual,1,6,7,0.58,1,0,6,0,1,8,0,1,24.8,0
NC-00110,2023-11-19,Small Business,Growth,86.57,Annual,0,18,1,0.08,0,0,42,1,13,6,0,0,89.9,1
NC-00111,2023-08-06,Small Business,Starter,32.46,Monthly,0,24,2,0.17,0,0,48,2,4,4,0,1,79.6,1
NC-00112,2024-11-02,Small Business,Growth,82.61,Monthly,0,23,2,0.17,0,0,38,0,17,7,0,0,84.6,1
NC-00113,2024-05-26,Enterprise,Enterprise,513.48,Annual,0,24,1,0.08,0,5,31,3,5,4,0,0,73.5,1
NC-00114,2024-02-10,Mid-Market,Growth,88.04,Monthly,1,6,3,0.25,1,0,4,1,6,8,0,0,39.1,1
NC-00115,2024-10-20,Mid-Market,Growth,83.02,Monthly,0,18,2,0.17,0,0,29,1,8,6,3,0,82.1,1
NC-00116,2024-04-14,Enterprise,Enterprise,499.18,Annual,0,16,3,0.25,0,4,38,1,17,5,0,0,68.3,0
NC-00117,2023-05-27,Mid-Market,Business,133.34,Monthly,0,12,2,0.17,1,1,48,3,12,3,3,0,70.9,1
NC-00118,2023-09-29,Small Business,Starter,27.91,Monthly,1,6,6,0.5,1,0,1,5,18,6,0,0,25.6,0
NC-00119,2023-05-23,Enterprise,Business,151.75,Annual,1,6,7,0.58,1,5,2,0,9,6,0,0,12.9,0
NC-00120,2023-09-10,Mid-Market,Growth,75.51,Annual,0,16,1,0.08,0,1,34,3,6,0,2,1,85.0,1
NC-00121,2024-07-28,Mid-Market,Business,138.85,Annual,1,6,8,0.67,1,0,0,0,22,8,1,0,18.4,0
NC-00122,2024-07-05,Enterprise,Business,151.1,Annual,0,16,3,0.25,0,2,39,0,21,3,0,0,71.6,1
NC-00123,2023-09-27,Small Business,Starter,26.7,Monthly,1,6,3,0.25,1,0,13,1,22,8,0,0,38.6,0
NC-00124,2024-08-21,Small Business,Growth,86.01,Monthly,0,14,3,0.25,0,0,70,1,19,2,0,0,91.3,1
NC-00125,2024-03-14,Small Business,Starter,29.84,Monthly,0,13,4,0.33,0,0,36,1,13,4,0,1,79.7,1
NC-00126,2024-08-20,Mid-Market,Business,152.95,Monthly,0,17,2,0.17,0,0,47,0,3,4,0,1,79.9,1
NC-00127,2024-02-13,Mid-Market,Growth,72.95,Annual,0,21,2,0.17,0,0,35,1,24,3,0,0,81.6,1
NC-00128,2024-01-06,Enterprise,Enterprise,462.29,Annual,1,2,4,0.33,1,6,16,0,17,9,0,0,27.7,0
NC-00129,2023-08-13,Small Business,Starter,29.1,Annual,1,7,4,0.33,1,0,5,1,4,8,0,0,28.0,1
NC-00130,2023-05-22,Mid-Market,Business,162.33,Annual,0,11,1,0.08,0,1,39,1,13,4,0,1,83.3,1
NC-00131,2024-06-05,Mid-Market,Business,160.81,Monthly,0,17,1,0.08,0,1,44,0,18,6,0,0,79.5,1
NC-00132,2024-05-20,Small Business,Starter,27.23,Monthly,1,2,3,0.25,0,0,9,1,23,9,2,0,53.6,1
NC-00133,2023-04-04,Small Business,Starter,31.16,Monthly,1,1,5,0.42,1,0,4,2,10,9,1,0,35.9,0
NC-00134,2023-02-18,Small Business,Starter,27.43,Monthly,0,19,2,0.17,0,0,14,2,21,7,0,1,72.7,1
NC-00135,2023-04-23,Enterprise,Business,169.53,Annual,0,17,1,0.08,1,3,50,1,5,6,0,0,66.5,0
NC-00136,2023-06-06,Small Business,Growth,89.04,Annual,1,2,6,0.5,0,0,9,0,20,9,0,0,42.6,1
NC-00137,2024-10-04,Mid-Market,Business,152.53,Annual,0,15,2,0.17,0,1,36,0,12,4,1,0,83.1,1
NC-00138,2023-06-13,Mid-Market,Growth,83.98,Annual,1,5,5,0.42,1,1,12,1,6,7,0,0,33.9,0
NC-00139,2024-11-27,Small Business,Starter,33.01,Monthly,1,4,6,0.5,1,0,12,1,6,7,0,0,23.2,1
NC-00140,2024-03-08,Enterprise,Enterprise,660.5,Monthly,1,4,6,0.5,1,3,9,0,22,7,0,0,15.5,0
NC-00141,2024-09-02,Enterprise,Enterprise,649.91,Monthly,1,4,5,0.42,1,3,11,1,24,8,0,0,20.5,0
NC-00142,2023-03-07,Small Business,Starter,34.59,Monthly,1,3,8,0.67,1,0,5,1,14,7,0,0,24.3,1
NC-00143,2024-01-30,Mid-Market,Growth,81.93,Monthly,0,15,2,0.17,0,1,43,0,2,4,0,0,80.1,1
NC-00144,2024-01-26,Small Business,Starter,31.36,Monthly,0,15,3,0.25,0,0,11,1,4,8,0,0,79.2,1
NC-00145,2024-09-02,Small Business,Starter,33.49,Monthly,0,14,1,0.08,0,1,35,2,2,7,0,0,76.9,1
NC-00146,2024-04-24,Small Business,Starter,31.7,Annual,1,2,5,0.42,1,0,11,1,6,9,0,1,32.5,1
NC-00147,2024-06-25,Mid-Market,Growth,84.66,Annual,0,16,1,0.08,0,1,24,1,1,2,1,1,78.8,0
NC-00148,2023-09-15,Mid-Market,Growth,74.68,Monthly,0,15,3,0.25,0,0,37,1,10,4,2,0,83.6,1
NC-00149,2024-07-20,Small Business,Growth,77.43,Annual,0,13,1,0.08,0,0,39,0,23,5,0,0,86.9,1
NC-00150,2023-01-12,Small Business,Starter,26.47,Monthly,1,6,5,0.42,1,0,3,3,22,7,0,1,31.3,1
NC-00151,2024-11-27,Enterprise,Business,150.23,Annual,0,22,3,0.25,0,4,51,0,21,1,0,0,71.7,1
NC-00152,2023-04-28,Small Business,Starter,29.56,Annual,1,4,3,0.25,1,0,9,2,8,7,0,0,31.1,0
NC-00153,2024-11-29,Small Business,Starter,34.97,Monthly,0,18,2,0.17,1,0,9,0,23,3,0,1,50.2,1
NC-00154,2024-07-03,Mid-Market,Business,154.45,Annual,1,3,5,0.42,1,0,8,1,11,8,0,0,27.8,0
NC-00155,2023-10-01,Enterprise,Enterprise,693.22,Annual,1,7,5,0.42,1,2,15,0,24,7,2,0,34.8,0
NC-00156,2024-10-18,Small Business,Starter,28.34,Annual,0,24,1,0.08,0,0,34,2,22,1,1,0,82.1,1
NC-00157,2023-12-15,Mid-Market,Growth,86.63,Annual,0,17,1,0.08,0,0,25,0,13,5,0,0,79.8,1
NC-00158,2023-04-25,Mid-Market,Growth,82.3,Annual,0,15,1,0.08,0,0,26,0,12,2,0,0,84.4,0
NC-00159,2023-10-28,Small Business,Starter,31.97,Monthly,1,5,6,0.5,1,0,7,1,5,9,3,1,28.0,0
NC-00160,2024-03-21,Mid-Market,Business,141.78,Monthly,0,18,2,0.17,0,2,16,1,19,2,0,0,67.8,1
NC-00161,2023-06-11,Small Business,Starter,30.49,Monthly,0,15,1,0.08,0,0,56,0,18,1,0,1,90.7,1
NC-00162,2024-04-09,Mid-Market,Growth,82.68,Monthly,0,19,1,0.08,0,1,48,0,15,4,0,0,81.7,1
NC-00163,2023-01-04,Mid-Market,Growth,81.78,Annual,0,21,2,0.17,0,1,51,0,12,5,0,0,82.0,1
NC-00164,2023-09-27,Mid-Market,Growth,88.3,Monthly,0,14,2,0.17,0,0,12,3,14,0,1,1,81.2,1
NC-00165,2024-05-27,Small Business,Starter,33.98,Annual,1,10,3,0.25,0,0,8,5,11,9,0,0,53.0,0
NC-00166,2023-07-02,Enterprise,Enterprise,785.49,Annual,1,1,7,0.58,0,5,13,0,5,5,0,0,34.2,0
NC-00167,2024-06-03,Small Business,Growth,83.35,Monthly,1,3,5,0.42,1,0,3,1,19,9,0,0,23.1,1
NC-00168,2023-04-19,Small Business,Starter,34.72,Monthly,0,18,2,0.17,0,0,33,1,2,2,0,1,82.2,1
NC-00169,2024-10-02,Small Business,Starter,33.32,Monthly,0,26,1,0.08,1,0,18,0,4,2,0,0,68.2,1
NC-00170,2023-11-02,Mid-Market,Business,140.83,Monthly,0,15,1,0.08,0,1,47,2,9,3,0,0,83.5,1
NC-00171,2024-10-16,Mid-Market,Business,147.1,Annual,1,2,5,0.42,1,2,6,1,8,10,0,0,21.9,0
NC-00172,2024-06-03,Small Business,Starter,27.38,Monthly,0,20,1,0.08,0,0,33,1,15,8,0,0,76.5,1
NC-00173,2024-09-15,Mid-Market,Growth,70.08,Annual,1,4,5,0.42,0,1,2,0,24,6,1,0,46.3,0
NC-00174,2023-07-23,Small Business,Starter,26.88,Monthly,0,20,1,0.08,0,0,58,0,14,1,0,0,95.7,1
NC-00175,2023-06-06,Mid-Market,Growth,70.08,Annual,1,4,9,0.75,1,0,8,4,23,10,0,0,19.6,0
NC-00176,2024-01-18,Small Business,Starter,32.2,Annual,0,14,1,0.08,0,0,46,4,7,0,0,0,88.5,1
NC-00177,2023-06-15,Mid-Market,Growth,78.51,Monthly,0,27,1,0.08,0,2,40,0,21,2,0,1,80.1,1
NC-00178,2024-07-06,Mid-Market,Business,142.5,Monthly,1,1,5,0.42,1,0,3,1,8,7,0,0,30.3,0
NC-00179,2024-06-27,Enterprise,Enterprise,680.86,Annual,1,8,6,0.5,1,4,0,0,4,6,0,0,15.0,0
NC-00180,2023-01-01,Small Business,Starter,33.32,Annual,0,21,2,0.17,0,0,32,2,8,2,2,0,84.5,1
NC-00181,2024-09-05,Small Business,Starter,34.75,Monthly,1,3,7,0.58,1,0,13,0,9,4,0,0,23.4,0
NC-00182,2023-11-28,Small Business,Growth,82.84,Monthly,0,25,3,0.25,0,0,5,1,11,2,0,0,70.6,1
NC-00183,2024-05-15,Enterprise,Business,148.46,Monthly,0,12,2,0.17,0,2,64,1,24,5,1,0,88.9,1
NC-00184,2023-01-20,Enterprise,Enterprise,452.63,Annual,1,7,2,0.17,0,5,12,0,9,7,1,0,44.2,1
NC-00185,2023-04-25,Small Business,Starter,27.22,Monthly,0,9,1,0.08,0,0,37,1,17,2,0,0,85.8,1
NC-00186,2024-01-07,Mid-Market,Business,138.52,Monthly,0,13,3,0.25,0,1,33,4,18,5,0,0,74.8,1
NC-00187,2023-11-11,Mid-Market,Growth,78.18,Annual,0,13,3,0.25,0,0,47,0,21,5,0,0,80.8,1
NC-00188,2023-09-03,Mid-Market,Growth,89.84,Monthly,0,14,2,0.17,0,1,16,2,9,0,0,0,74.1,1
NC-00189,2023-03-01,Mid-Market,Growth,70.02,Monthly,1,5,4,0.33,0,1,10,0,13,6,0,0,44.9,1
NC-00190,2023-09-04,Small Business,Starter,26.97,Monthly,0,14,1,0.08,0,0,39,0,2,0,0,0,85.9,1
NC-00191,2024-08-03,Small Business,Starter,26.88,Annual,0,9,1,0.08,0,1,61,1,17,7,0,0,96.1,0
NC-00192,2023-03-22,Enterprise,Enterprise,658.56,Annual,0,19,1,0.08,0,4,29,3,21,5,1,1,76.9,1
NC-00193,2023-03-29,Enterprise,Business,144.1,Annual,1,5,6,0.5,0,2,8,0,23,7,0,0,31.6,0
NC-00194,2024-05-12,Mid-Market,Growth,79.15,Annual,1,5,10,0.83,1,0,7,5,12,5,2,0,18.6,0
NC-00195,2023-03-12,Small Business,Starter,26.49,Monthly,1,5,5,0.42,1,1,5,0,4,6,0,1,24.2,0
NC-00196,2024-06-29,Small Business,Starter,29.05,Monthly,0,21,3,0.25,1,0,57,4,2,4,0,1,69.5,1
NC-00197,2023-05-09,Mid-Market,Business,134.13,Annual,0,17,1,0.08,0,1,20,0,10,7,1,0,76.1,0
NC-00198,2023-05-12,Enterprise,Enterprise,566.52,Annual,0,22,1,0.08,0,4,12,0,4,5,1,0,71.2,1
NC-00199,2024-11-06,Enterprise,Enterprise,348.97,Annual,1,3,7,0.58,0,5,9,4,24,7,1,0,35.5,0
NC-00200,2024-05-01,Mid-Market,Business,161.62,Annual,1,3,5,0.42,0,1,4,0,1,7,0,1,45.9,0
NC-00201,2024-07-16,Mid-Market,Business,152.66,Annual,1,7,8,0.67,0,0,9,0,17,8,0,0,39.7,0
NC-00202,2023-06-19,Small Business,Growth,84.48,Monthly,0,23,3,0.25,0,0,44,3,12,7,1,0,87.3,0
NC-00203,2023-09-29,Small Business,Starter,29.19,Annual,0,20,1,0.08,0,0,37,3,9,0,0,0,88.2,1
NC-00204,2024-06-24,Enterprise,Business,145.26,Annual,1,3,8,0.67,0,3,8,2,18,8,0,0,26.5,0
NC-00205,2024-09-13,Mid-Market,Growth,71.96,Monthly,0,14,1,0.08,0,2,4,4,22,4,0,0,65.1,0
NC-00206,2024-03-09,Small Business,Starter,30.24,Monthly,1,7,4,0.33,0,0,10,0,11,7,0,0,54.6,0
NC-00207,2023-08-05,Small Business,Growth,80.29,Monthly,0,23,3,0.25,0,0,37,1,24,5,1,0,85.4,0
NC-00208,2024-07-06,Mid-Market,Growth,79.36,Monthly,0,17,1,0.08,0,2,63,2,10,5,0,1,81.1,1
NC-00209,2024-12-07,Small Business,Starter,32.41,Monthly,1,9,5,0.42,1,0,13,4,10,7,3,0,36.1,0
NC-00210,2023-07-25,Small Business,Growth,86.65,Monthly,1,5,8,0.67,1,1,0,3,7,7,0,0,21.7,1
NC-00211,2024-12-31,Mid-Market,Business,160.03,Monthly,1,2,8,0.67,1,1,13,0,15,8,0,0,24.6,0
NC-00212,2023-11-16,Mid-Market,Growth,72.88,Monthly,1,4,5,0.42,1,1,1,0,16,7,0,0,23.0,0
NC-00213,2024-02-13,Mid-Market,Business,154.88,Monthly,0,18,3,0.25,0,1,47,1,4,5,1,1,82.9,1
NC-00214,2024-11-18,Small Business,Starter,25.8,Monthly,0,18,1,0.08,0,1,56,3,12,5,0,1,85.9,1
NC-00215,2024-10-27,Mid-Market,Business,157.78,Monthly,0,23,1,0.08,0,2,63,0,15,2,0,0,83.8,1
NC-00216,2024-01-18,Small Business,Growth,77.64,Annual,0,14,2,0.17,0,0,29,0,21,6,2,0,86.9,1
